,瞋,䀹,瞎,盷,睜,眩,目眩,矉,瞪,瞑,咪,瞚,瞪眼,眨,盱,瞤
"(1, 'Western Zhou')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
"(3, 'Spring and Autumn')",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"(4, 'Warring States')",16.0,0.0,0.0,0.0,0.0,101.0,18.0,5.0,0.0,71.0,0.0,2.0,0.0,0.0,6.0,10.0
"(5, 'Qin')",1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0
"(6, 'Western Han')",20.0,0.0,0.0,0.0,0.0,45.0,2.0,0.0,0.0,22.0,0.0,1.0,0.0,0.0,26.0,0.0
"(7, 'Xin')",3.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0
"(8, 'Eastern Han')",20.0,1.0,1.0,1.0,0.0,67.0,5.0,2.0,0.0,42.0,0.0,1.0,0.0,1.0,4.0,11.0
"(9, 'Han')",38.0,0.0,5.0,0.0,0.0,231.0,7.0,0.0,0.0,180.0,0.0,1.0,0.0,0.0,27.0,3.0
"(10, 'Three Kingdoms')",5.0,0.0,0.0,0.0,0.0,46.0,1.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,6.0,0.0
"(11, 'Western Jin')",10.0,0.0,0.0,0.0,0.0,15.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0
"(12, 'Eastern Jin')",86.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
"(13, 'Jin')",18.0,0.0,0.0,0.0,0.0,180.0,27.0,4.0,1.0,56.0,5.0,0.0,0.0,0.0,17.0,11.0
"(14, 'Northern and Southern')",22.0,0.0,6.0,0.0,0.0,25.0,1.0,0.0,0.0,28.0,0.0,2.0,0.0,0.0,38.0,0.0
"(15, 'Sui')",15.0,0.0,0.0,0.0,0.0,98.0,9.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,4.0,0.0
"(16, 'Tang')",814.0,8.0,102.0,0.0,0.0,761.0,99.0,43.0,58.0,543.0,0.0,7.0,0.0,9.0,281.0,24.0
"(17, 'Five Dynasties and Ten Kingdoms')",6.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,4.0,20.0,0.0,0.0,0.0,0.0,10.0,0.0
"(18, 'Northern Song')",132.0,4.0,17.0,1.0,6.0,112.0,8.0,9.0,32.0,102.0,2.0,7.0,0.0,2.0,65.0,8.0
"(19, 'Southern Song')",14.0,0.0,39.0,0.0,0.0,67.0,4.0,0.0,3.0,49.0,0.0,1.0,0.0,5.0,81.0,1.0
"(20, 'Song')",560.0,17.0,417.0,8.0,4.0,2026.0,169.0,67.0,171.0,1771.0,1.0,6.0,0.0,68.0,1324.0,18.0
"(21, 'Liao')",1.0,2.0,10.0,0.0,2.0,7.0,0.0,2.0,1.0,4.0,1.0,1.0,0.0,1.0,5.0,2.0
"(22, 'Jin')",3.0,0.0,7.0,0.0,0.0,106.0,12.0,0.0,9.0,41.0,0.0,0.0,0.0,2.0,19.0,2.0
"(23, 'Yuan')",73.0,2.0,102.0,2.0,4.0,530.0,47.0,6.0,51.0,422.0,0.0,0.0,1.0,6.0,413.0,15.0
"(24, 'Ming')",673.0,4.0,179.0,1.0,410.0,3383.0,297.0,38.0,188.0,3595.0,1.0,22.0,5.0,38.0,664.0,41.0
"(25, 'Qing')",2840.0,62.0,791.0,9.0,486.0,8336.0,628.0,109.0,664.0,13073.0,40.0,68.0,11.0,166.0,3669.0,120.0
"(26, 'Republican era')",25.0,0.0,4.0,0.0,0.0,119.0,25.0,3.0,27.0,32.0,0.0,3.0,0.0,3.0,41.0,0.0
"(29, 'Liang')",43.0,1.0,13.0,2.0,0.0,120.0,4.0,1.0,12.0,78.0,0.0,3.0,0.0,1.0,106.0,1.0
"(30, 'Northern Qi')",11.0,1.0,6.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0
"(31, 'Northern Zhou')",5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0
"(32, 'Chen')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
